category,total_questions,failures,failure_rate,hit_at_10
"Parties",509,287,0.5639,0.4361
"Volume Restriction",82,43,0.5244,0.4756
"Document Name",510,263,0.5157,0.4843
"Agreement Date",470,234,0.4979,0.5021
"Exclusivity",180,73,0.4056,0.5944
"Competitive Restriction Exception",76,29,0.3816,0.6184
"Affiliate License-Licensor",23,8,0.3478,0.6522
"Effective Date",390,130,0.3333,0.6667
"Price Restrictions",15,5,0.3333,0.6667
"Most Favored Nation",28,9,0.3214,0.6786
"Non-Compete",119,38,0.3193,0.6807
"Third Party Beneficiary",32,10,0.3125,0.6875
"Unlimited/All-You-Can-Eat-License",17,5,0.2941,0.7059
"Non-Transferable License",138,39,0.2826,0.7174
"Irrevocable Or Perpetual License",70,19,0.2714,0.7286
"Revenue/Profit Sharing",166,44,0.2651,0.7349
"No-Solicit Of Customers",34,9,0.2647,0.7353
"Non-Disparagement",38,10,0.2632,0.7368
"License Grant",255,59,0.2314,0.7686
"Covenant Not To Sue",100,23,0.2300,0.7700
"Ip Ownership Assignment",124,28,0.2258,0.7742
"Minimum Commitment",165,31,0.1879,0.8121
"Joint Ip Ownership",46,8,0.1739,0.8261
"Affiliate License-Licensee",59,10,0.1695,0.8305
"Rofr/Rofo/Rofn",85,14,0.1647,0.8353
"Warranty Duration",75,11,0.1467,0.8533
"No-Solicit Of Employees",59,8,0.1356,0.8644
"Liquidated Damages",61,8,0.1311,0.8689
"Expiration Date",413,50,0.1211,0.8789
"Audit Rights",214,21,0.0981,0.9019
"Notice Period To Terminate Renewal",111,10,0.0901,0.9099
"Post-Termination Services",182,15,0.0824,0.9176
"Governing Law",437,36,0.0824,0.9176
"Source Code Escrow",13,1,0.0769,0.9231
"Termination For Convenience",183,13,0.0710,0.9290
"Cap On Liability",275,17,0.0618,0.9382
"Renewal Term",176,10,0.0568,0.9432
"Insurance",166,9,0.0542,0.9458
"Change Of Control",121,6,0.0496,0.9504
"Anti-Assignment",374,17,0.0455,0.9545
"Uncapped Liability",111,2,0.0180,0.9820
